SEF	1.0.0
ID	SaintJohnCanada
Name	SaintJohn
Lat	45.27
Lon	293.93
Alt	41.15
Source	ODR
Link	https://opendatarescue.org
Vbl	hd
Stat	point
Unit	deg
Meta		UTCOffset=Applied	UTCOffset=4
Year	Month	Day	Hour	Minute	Period	Value	|	Meta
1865	01	29	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-01-01_OBS-L.jpg
1865	01	30	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-01-01_OBS-L.jpg
1865	01	31	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-01-01_OBS-L.jpg
1865	02	01	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-01-01_OBS-L.jpg
1865	02	02	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	03	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	04	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	05	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	06	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	07	01	00	0	45	|	orig=North-East dir|Local time: 2100|QC flag: None|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	08	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	09	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	10	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	11	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	12	01	00	0	-999	|	orig=- dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	13	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	14	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	15	01	00	0	-999	|	orig=Empty dir|Local time: 2100|QC flag: missing|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
1865	02	16	01	00	0	315	|	orig=North-West dir|Local time: 2100|QC flag: None|Image File: SaintJohn_USSI-401_M1958_1865-02-01_OBS-L.jpg
