"stationName","latitude","longitude","elevation","timeZone","UTCoffset","WMOID","MSCID"
"StJohnsNFLDDel","45.57","-52.61","44.2","America/St_Johns","3.5","71250","8403669"
"Short_Name","What","Material","Error","Units","Seasonality","Data_Type","Detail","Method","Data_Format","Additional_Information"
"atb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"cd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"cv","wind speed","atmospheric material",NA,"okta","sub-daily","historical","original_observation","field method","n",NA
"dd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"hd","wind direction","atmospheric material",NA,"degrees","sub-daily","historical","original_observation","field method","n",NA
"p","surface pressure","atmospheric material",NA,"hPa","sub-daily","instrumental","original_observation","field method","n",NA
"pr","precipitation","precipitation",NA,"mm","sub-daily","instrumental","original_observation","field method","n",NA
"ptb","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"pte","hour","precipitation",NA,"hh:mm","sub-daily","historical","original_observation","field method","n",NA
"sd","snowfall","precipitation",NA,"cm","sub-daily","instrumental","original_observation","field method","n",NA
"ta","air temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"ta_mean","air temperature","atmospheric material",NA,"C","daily","instrumental","mean","computational method","n",NA
"tb","humidity","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"tdb","temperature","atmospheric material",NA,"C","sub-daily","instrumental","original_observation","field method","n",NA
"w","wind speed","atmospheric material",NA,"mps","sub-daily","instrumental","original_observation","field method","n",NA
"ww","weather","atmospheric material",NA,"synop","sub-daily","historical","original_observation","field method","c",NA
"ObservationDate","atb","cd","cv","dd","hd","p","pr","ptb","pte","sd","ta","ta_mean","tb","tdb","w","ww"
1856-12-11 14:00:00,NA,NA,NA,315,NA,1010.84,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-11 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1856-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-12 07:00:00,NA,NA,NA,0,NA,1010.84,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-12 14:00:00,NA,NA,NA,0,NA,990.52,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-12 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-13 07:00:00,NA,NA,NA,270,NA,992.21,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-13 14:00:00,NA,NA,NA,270,NA,990.52,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-13 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-14 07:00:00,NA,NA,NA,270,NA,992.21,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-14 14:00:00,NA,NA,NA,270,NA,998.98,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-14 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-15 07:00:00,NA,NA,NA,315,NA,1000.68,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-15 14:00:00,NA,NA,NA,315,NA,988.83,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-15 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-16 07:00:00,NA,NA,NA,315,NA,995.6,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1856-12-16 14:00:00,NA,NA,NA,315,NA,1004.06,NA,NA,NA,NA,-3.89,NA,NA,NA,NA,NA
1856-12-16 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-4.44,NA,NA,NA,NA,NA
1856-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1856-12-17 07:00:00,NA,NA,NA,202.5,NA,951.58,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-17 14:00:00,NA,NA,NA,247.5,NA,968.51,NA,NA,NA,NA,-0.56,NA,NA,NA,NA,NA
1856-12-17 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.65,NA,NA,NA,"skc"
1856-12-18 07:00:00,NA,NA,NA,315,NA,998.98,NA,NA,NA,NA,-6.67,NA,NA,NA,NA,NA
1856-12-18 14:00:00,NA,NA,NA,315,NA,1004.06,NA,NA,NA,NA,-4.44,NA,NA,NA,NA,NA
1856-12-18 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA,NA,NA
1856-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-19 07:00:00,NA,NA,NA,315,NA,1005.76,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,NA
1856-12-19 14:00:00,NA,NA,NA,315,NA,1006.77,NA,NA,NA,NA,-3.89,NA,NA,NA,NA,NA
1856-12-19 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA
1856-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blsn"
1856-12-20 07:00:00,NA,NA,NA,315,NA,1014.22,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA
1856-12-20 14:00:00,NA,NA,NA,315,NA,1015.92,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA
1856-12-20 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-6.67,NA,NA,NA,NA,NA
1856-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ra"
1856-12-21 07:00:00,NA,NA,NA,315,NA,1019.3,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,NA
1856-12-21 14:00:00,NA,NA,NA,315,NA,1015.92,NA,NA,NA,NA,-3.89,NA,NA,NA,NA,NA
1856-12-21 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-5,NA,NA,NA,NA,NA
1856-12-22,NA,NA,NA,NA,NA,NA,2.79,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-22 07:00:00,NA,NA,NA,180,NA,1015.92,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-22 14:00:00,NA,NA,NA,180,NA,1014.22,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1856-12-22 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hz"
1856-12-23 07:00:00,NA,NA,NA,270,NA,1012.53,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA
1856-12-23 14:00:00,NA,NA,NA,225,NA,1009.14,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA
1856-12-23 21:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-12-24,NA,NA,NA,NA,NA,NA,15.24,NA,NA,NA,NA,7.04,NA,NA,NA,"ra"
1856-12-24 07:00:00,NA,NA,NA,180,NA,1014.22,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
1856-12-24 14:00:00,NA,NA,NA,180,NA,1014.22,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-12-24 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,7.78,NA,NA,NA,NA,NA
1856-12-25,NA,NA,NA,NA,NA,NA,53.59,NA,NA,NA,NA,NA,NA,NA,NA,"empty"
1856-12-25 07:00:00,NA,NA,NA,180,NA,1004.06,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-12-25 14:00:00,NA,NA,NA,180,NA,998.98,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-12-25 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,6.11,NA,NA,NA,NA,NA
1856-12-26,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-26 07:00:00,NA,NA,NA,315,NA,1005.76,NA,NA,NA,NA,5.56,NA,NA,NA,NA,NA
1856-12-26 14:00:00,NA,NA,NA,315,NA,995.6,NA,NA,NA,NA,7.22,NA,NA,NA,NA,NA
1856-12-26 21:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-27,NA,NA,NA,NA,NA,NA,20.32,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-27 07:00:00,NA,NA,NA,315,NA,990.52,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-27 14:00:00,NA,NA,NA,315,NA,985.44,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1856-12-27 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1856-12-28,NA,NA,NA,NA,NA,NA,15.24,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-28 07:00:00,NA,NA,NA,315,NA,985.44,NA,NA,NA,NA,-3.33,NA,NA,NA,NA,NA
1856-12-28 14:00:00,NA,NA,NA,315,NA,1007.45,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1856-12-28 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-3.33,NA,NA,NA,NA,NA
1856-12-29,NA,NA,NA,NA,NA,NA,6.86,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-29 07:00:00,NA,NA,NA,0,NA,976.97,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA
1856-12-29 14:00:00,NA,NA,NA,0,NA,988.83,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1856-12-29 21:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1856-12-30,NA,NA,NA,NA,NA,NA,5.08,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1856-12-30 07:00:00,NA,NA,NA,0,NA,998.98,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1856-12-30 14:00:00,NA,NA,NA,0,NA,997.29,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1856-12-30 21:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-1.67,NA,NA,NA,NA,NA
1856-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1856-12-31 07:00:00,NA,NA,NA,0,NA,1007.45,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1856-12-31 14:00:00,NA,NA,NA,0,NA,1009.14,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1856-12-31 21:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-01 07:00:00,NA,NA,NA,315,NA,992.21,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-01 14:00:00,NA,NA,NA,315,NA,1014.22,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-01 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-02 07:00:00,NA,NA,NA,45,NA,1013.88,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-02 14:00:00,NA,NA,NA,45,NA,1007.45,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-02 21:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-03,NA,NA,NA,NA,NA,NA,20.32,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-03 07:00:00,NA,NA,NA,315,NA,1007.45,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-03 14:00:00,NA,NA,NA,315,NA,992.21,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-03 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-04 07:00:00,NA,NA,NA,0,NA,990.52,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-04 14:00:00,NA,NA,NA,0,NA,985.44,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-04 21:00:00,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-05,NA,NA,NA,NA,NA,NA,50.8,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-05 07:00:00,NA,NA,NA,45,NA,982.05,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-05 14:00:00,NA,NA,NA,45,NA,968.51,NA,NA,NA,NA,1.67,NA,NA,NA,NA,NA
1857-01-05 21:00:00,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-06 07:00:00,NA,NA,NA,315,NA,965.12,NA,NA,NA,NA,-1.11,NA,NA,NA,0,NA
1857-01-06 14:00:00,NA,NA,NA,315,NA,968.51,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-06 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1857-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-07 07:00:00,NA,NA,NA,315,NA,968.51,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-07 14:00:00,NA,NA,NA,315,NA,965.12,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-07 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blsn"
1857-01-08 07:00:00,NA,NA,NA,270,NA,968.51,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-08 14:00:00,NA,NA,NA,270,NA,971.89,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-08 21:00:00,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-09 07:00:00,NA,NA,NA,315,NA,982.05,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-09 14:00:00,NA,NA,NA,315,NA,985.44,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-09 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blsn"
1857-01-10 07:00:00,NA,NA,NA,315,NA,992.21,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-10 14:00:00,NA,NA,NA,315,NA,995.6,NA,NA,NA,NA,0.56,NA,NA,NA,NA,NA
1857-01-10 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-11,NA,NA,NA,NA,NA,NA,39.37,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-11 07:00:00,NA,NA,NA,315,NA,1005.76,NA,NA,NA,NA,-2.78,NA,NA,NA,NA,NA
1857-01-11 14:00:00,NA,NA,NA,270,NA,998.98,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-11 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,-2.22,NA,NA,NA,NA,NA
1857-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-12 07:00:00,NA,NA,NA,225,NA,992.21,NA,NA,NA,NA,3.89,NA,NA,NA,NA,NA
1857-01-12 14:00:00,NA,NA,NA,225,NA,983.75,NA,NA,NA,NA,4.44,NA,NA,NA,NA,NA
1857-01-12 21:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA
1857-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"blsn"
1857-01-13 07:00:00,NA,NA,NA,180,NA,988.83,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-13 14:00:00,NA,NA,NA,180,NA,995.6,NA,NA,NA,NA,1.11,NA,NA,NA,NA,NA
1857-01-13 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-14,NA,NA,NA,NA,NA,NA,10.16,NA,NA,NA,NA,NA,NA,NA,NA,"ra"
1857-01-14 07:00:00,NA,NA,NA,180,NA,1005.76,NA,NA,NA,NA,-1.11,NA,NA,NA,NA,NA
1857-01-14 14:00:00,NA,NA,NA,180,NA,1002.37,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-14 21:00:00,NA,NA,NA,180,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
1857-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-15 07:00:00,NA,NA,NA,225,NA,1000.68,NA,NA,NA,NA,4.44,NA,NA,NA,NA,NA
1857-01-15 14:00:00,NA,NA,NA,225,NA,995.6,NA,NA,NA,NA,3.33,NA,NA,NA,NA,NA
1857-01-15 21:00:00,NA,NA,NA,225,NA,NA,NA,NA,NA,NA,2.22,NA,NA,NA,NA,NA
1857-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1857-01-16 07:00:00,NA,NA,NA,315,NA,998.98,NA,NA,NA,NA,-10,NA,NA,NA,0,NA
1857-01-16 14:00:00,NA,NA,NA,315,NA,1000.68,NA,NA,NA,NA,-8.89,NA,NA,NA,NA,NA
1857-01-16 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-9.44,NA,NA,NA,NA,NA
1857-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sn"
1857-01-17 07:00:00,NA,NA,NA,315,NA,1002.37,NA,NA,NA,NA,-8.89,NA,NA,NA,NA,NA
1857-01-17 14:00:00,NA,NA,NA,315,NA,1001.02,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,NA
1857-01-17 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,NA
1857-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"drsn"
1857-01-18 07:00:00,NA,NA,NA,315,NA,1000.68,NA,NA,NA,NA,-12.22,NA,NA,NA,NA,NA
1857-01-18 14:00:00,NA,NA,NA,315,NA,1015.92,NA,NA,NA,NA,-12.78,NA,NA,NA,NA,NA
1857-01-18 21:00:00,NA,NA,NA,315,NA,NA,NA,NA,NA,NA,-13.33,NA,NA,NA,NA,NA
1857-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skc"
1857-01-19 07:00:00,NA,NA,NA,315,NA,1026.08,NA,NA,NA,NA,-8.33,NA,NA,NA,NA,NA
1857-01-19 14:00:00,NA,NA,NA,315,NA,1026.08,NA,NA,NA,NA,-7.22,NA,NA,NA,NA,NA
